State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,12.00,Metric Tonnes,29-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,350.00","2,350.00","2,350.00",Rs./Quintal,175.00,Metric Tonnes,27-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,46.00,Metric Tonnes,26-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,24.00,Metric Tonnes,25-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,41.00,Metric Tonnes,22-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,350.00","2,350.00","2,350.00",Rs./Quintal,25.00,Metric Tonnes,21-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,350.00","2,350.00","2,350.00",Rs./Quintal,43.00,Metric Tonnes,20-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,45.00,Metric Tonnes,18-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,15.00,Metric Tonnes,14-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,300.00","2,300.00","2,300.00",Rs./Quintal,12.00,Metric Tonnes,13-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,300.00","2,300.00","2,300.00",Rs./Quintal,15.60,Metric Tonnes,12-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,300.00","2,300.00","2,300.00",Rs./Quintal,65.00,Metric Tonnes,11-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,12.00,Metric Tonnes,10-12-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,300.00","2,300.00","2,300.00",Rs./Quintal,110.00,Metric Tonnes,10-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,10.00,Metric Tonnes,09-12-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,400.00","2,400.00","2,400.00",Rs./Quintal,12.50,Metric Tonnes,08-12-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Grade Range-1,"2,300.00","2,300.00","2,300.00",Rs./Quintal,23.00,Metric Tonnes,07-11-2025
Andhra Pradesh,Krishna,Tiruvuru APMC,Cereals,Maize,Hybrid,Local,"2,350.00","2,350.00","2,350.00",Rs./Quintal,12.00,Metric Tonnes,02-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Cereals,Maize,Local,Non-FAQ,800.00,"1,870.00","1,852.00",Rs./Quintal,11.10,Metric Tonnes,31-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Cereals,Maize,Local,Local,"1,642.00","1,820.00","1,689.00",Rs./Quintal,97.00,Metric Tonnes,30-12-2025
