State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Chattisgarh,Jashpur,Jaspur APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"5,000.00","5,000.00","5,000.00",Rs./Quintal,0.20,Metric Tonnes,12-11-2025
Chattisgarh,Jashpur,Jaspur APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"5,000.00","5,000.00","5,000.00",Rs./Quintal,0.70,Metric Tonnes,11-11-2025
Chattisgarh,Jashpur,Pathalgaon APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"5,000.00","5,000.00","5,000.00",Rs./Quintal,1.00,Metric Tonnes,21-01-2026
Chattisgarh,Raipur,Raipur APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"8,700.00","8,700.00","8,700.00",Rs./Quintal,5.00,Metric Tonnes,31-12-2025
Chattisgarh,Raipur,Raipur APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"9,700.00","9,700.00","9,700.00",Rs./Quintal,0.80,Metric Tonnes,29-11-2025
Chattisgarh,Raipur,Raipur APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"5,483.00","5,483.00","5,483.00",Rs./Quintal,0.10,Metric Tonnes,20-11-2025
Chattisgarh,Raipur,Raipur APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"5,986.00","6,000.00","5,993.00",Rs./Quintal,0.80,Metric Tonnes,02-12-2025
Chattisgarh,Rajnandgaon,Rajnandgaon APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"4,400.00","4,400.00","4,400.00",Rs./Quintal,0.10,Metric Tonnes,22-01-2026
Chattisgarh,Surajpur,Surajpur APMC,Oil Seeds,Mustard,Mustard,Non-FAQ,"6,000.00","6,000.00","6,000.00",Rs./Quintal,1.00,Metric Tonnes,24-12-2025
Gujarat,Amreli,Rajula APMC,Oil Seeds,Mustard,Mustard,Local,"5,000.00","5,000.00","5,000.00",Rs./Quintal,0.10,Metric Tonnes,26-11-2025
