State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.50,Metric Tonnes,31-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.50,Metric Tonnes,30-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,29-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,29-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,1.70,Metric Tonnes,28-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,27-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,27-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,26-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,26-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.50,Metric Tonnes,24-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,24-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,24-01-2026
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,23-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,23-01-2026
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,22-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,22-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,20-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,20-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,20-01-2026
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,19-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.00,Metric Tonnes,19-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,19-01-2026
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,18-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,1.70,Metric Tonnes,18-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.50,Metric Tonnes,17-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,1.60,Metric Tonnes,17-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,16-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.00,Metric Tonnes,15-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,389.00","2,375.00",Rs./Quintal,1.50,Metric Tonnes,15-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,1.50,Metric Tonnes,14-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,1.10,Metric Tonnes,13-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,13-01-2026
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,12-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,360.00","2,360.00","2,360.00",Rs./Quintal,1.00,Metric Tonnes,12-11-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,12-01-2026
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,2.50,Metric Tonnes,11-12-2025
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,370.00","2,370.00","2,370.00",Rs./Quintal,3.00,Metric Tonnes,10-12-2025
