State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Other,Non-FAQ,"4,029.00","4,029.00","4,029.00",Rs./Quintal,0.20,Metric Tonnes,28-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Other,Non-FAQ,"4,340.00","4,340.00","4,340.00",Rs./Quintal,0.70,Metric Tonnes,27-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Other,Local,"4,089.00","4,129.00","4,089.00",Rs./Quintal,21.00,Metric Tonnes,23-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Soyabeen,Local,"3,069.00","3,390.00","3,390.00",Rs./Quintal,9.00,Metric Tonnes,12-11-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Other,Non-FAQ,"3,611.00","3,611.00","3,611.00",Rs./Quintal,0.80,Metric Tonnes,12-01-2026
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Other,Local,"1,209.00","4,297.00","4,297.00",Rs./Quintal,32.00,Metric Tonnes,10-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Other,Non-FAQ,"1,242.00","4,100.00","4,100.00",Rs./Quintal,0.50,Metric Tonnes,09-12-2025
Andhra Pradesh,Kurnool,Kurnool APMC,Oil Seeds,Soyabean,Other,Non-FAQ,"3,550.00","3,550.00","3,550.00",Rs./Quintal,0.30,Metric Tonnes,02-12-2025
Chattisgarh,Kabirdham,Biranpur kalan (Sahaspur Lohra) APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,000.00","4,000.00","4,000.00",Rs./Quintal,7.50,Metric Tonnes,29-12-2025
Chattisgarh,Kabirdham,Biranpur kalan (Sahaspur Lohra) APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,500.00","4,000.00","4,000.00",Rs./Quintal,17.50,Metric Tonnes,13-12-2025
